title,description,company_profile,requirements,benefits,fraudulent
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Online Income,Earn money quickly without experience,Unknown company,None,None,1
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Backend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Data Analyst,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Data Analyst,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Online Income,Earn money quickly without experience,Unknown company,None,None,1
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Work From Home Job,Earn money quickly without experience,Unknown company,None,None,1
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Software Engineer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Work From Home Job,Earn money quickly without experience,Unknown company,None,None,1
Work From Home Job,Earn money quickly without experience,Unknown company,None,None,1
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Data Analyst,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Backend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Typing Job,Earn money quickly without experience,Unknown company,None,None,1
Software Engineer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Typing Job,Earn money quickly without experience,Unknown company,None,None,1
Online Income,Earn money quickly without experience,Unknown company,None,None,1
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Online Income,Earn money quickly without experience,Unknown company,None,None,1
Data Analyst,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Work From Home Job,Earn money quickly without experience,Unknown company,None,None,1
Typing Job,Earn money quickly without experience,Unknown company,None,None,1
Data Analyst,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Online Income,Earn money quickly without experience,Unknown company,None,None,1
Backend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Work From Home Job,Earn money quickly without experience,Unknown company,None,None,1
Typing Job,Earn money quickly without experience,Unknown company,None,None,1
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Online Income,Earn money quickly without experience,Unknown company,None,None,1
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Data Analyst,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Backend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Backend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Easy Job,Earn money quickly without experience,Unknown company,None,None,1
Backend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Online Income,Earn money quickly without experience,Unknown company,None,None,1
HR Executive,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Typing Job,Earn money quickly without experience,Unknown company,None,None,1
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Frontend Developer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
Typing Job,Earn money quickly without experience,Unknown company,None,None,1
Earn Money Fast,Earn money quickly without experience,Unknown company,None,None,1
Software Engineer,Professional job with growth opportunities,Reputed company,Relevant skills required,"Health insurance, bonus",0
